epoch,train_loss,valid_loss,recon_mse,time
40,-2.9108152389526367,-2.9148895740509033,0.03583943098783493,00:01
41,-2.932652473449707,-2.9385905265808105,0.034593645483255386,00:01
42,-2.938098907470703,-2.9458112716674805,0.034233976155519485,00:01
43,-2.9400181770324707,-2.9385926723480225,0.0347367562353611,00:01
44,-2.9288220405578613,-2.9234402179718018,0.03507421538233757,00:01
45,-2.9363324642181396,-2.9307303428649902,0.034727614372968674,00:01
46,-2.935802698135376,-2.9557480812072754,0.03430738300085068,00:01
47,-2.9519920349121094,-2.9174435138702393,0.034460365772247314,00:01
48,-2.946449041366577,-2.949362277984619,0.03467078134417534,00:01
49,-2.958531618118286,-2.9672343730926514,0.03398532047867775,00:01
50,-2.942554235458374,-2.932783603668213,0.03448051959276199,00:01
51,-2.9505887031555176,-2.8705239295959473,0.03650836646556854,00:01
52,-2.9500479698181152,-2.958326578140259,0.034027017652988434,00:01
53,-2.9566385746002197,-2.9678893089294434,0.03332845866680145,00:01
54,-2.955622911453247,-2.9469916820526123,0.034065403044223785,00:01
55,-2.9603023529052734,-2.9381723403930664,0.03486781194806099,00:01
56,-2.953744649887085,-2.9660966396331787,0.033206578344106674,00:01
57,-2.97055721282959,-2.950413703918457,0.033858347684144974,00:01
58,-2.9655675888061523,-2.955141305923462,0.03377082571387291,00:01
59,-2.9729814529418945,-2.953500270843506,0.033838603645563126,00:01
60,-2.9609503746032715,-2.9657156467437744,0.0331977903842926,00:01
61,-2.9762215614318848,-2.975897789001465,0.03243434056639671,00:01
62,-2.971900463104248,-2.9771242141723633,0.032704100012779236,00:01
63,-2.970207691192627,-2.9677908420562744,0.03358691930770874,00:01
64,-2.977346658706665,-2.990832805633545,0.03204849734902382,00:01
65,-2.9798896312713623,-2.938424825668335,0.033952172845602036,00:01
66,-2.9729299545288086,-2.976100206375122,0.032871171832084656,00:01
67,-2.995013475418091,-2.9580538272857666,0.03295178338885307,00:01
68,-2.9845399856567383,-2.972593307495117,0.03285759687423706,00:01
69,-2.9809999465942383,-2.968262195587158,0.0329248383641243,00:01
70,-2.9862070083618164,-2.9802680015563965,0.032522961497306824,00:01
71,-2.9968464374542236,-2.9832043647766113,0.03207387402653694,00:01
72,-3.0014808177948,-2.974679708480835,0.03231013938784599,00:01
73,-2.990675449371338,-2.975118398666382,0.03213426470756531,00:01
74,-2.9937634468078613,-2.9304683208465576,0.03404592350125313,00:01
75,-2.9906270503997803,-2.9926912784576416,0.03182436525821686,00:01
76,-2.9877495765686035,-2.959156036376953,0.0335359089076519,00:01
77,-3.000828266143799,-2.9890596866607666,0.032218076288700104,00:01
78,-2.997089147567749,-2.9322450160980225,0.03392355144023895,00:01
79,-3.0009357929229736,-2.975201368331909,0.03260118514299393,00:01
80,-3.0015878677368164,-2.9641988277435303,0.03264157474040985,00:01
81,-2.9918477535247803,-2.987318992614746,0.03214883804321289,00:01
82,-2.996786117553711,-2.9837868213653564,0.0327468104660511,00:01
83,-3.0090315341949463,-2.9868311882019043,0.03156717121601105,00:01
84,-3.0065064430236816,-2.9909026622772217,0.03191368654370308,00:01
85,-3.002413034439087,-2.9855880737304688,0.031941968947649,00:01
86,-3.011002540588379,-2.985612392425537,0.03154878690838814,00:01
87,-3.0148885250091553,-2.9803435802459717,0.031964011490345,00:01
88,-3.0138614177703857,-2.987647533416748,0.03188197314739227,00:01
89,-3.006624460220337,-2.9562976360321045,0.03293924406170845,00:01
90,-3.013476848602295,-2.9961130619049072,0.031392160803079605,00:01
91,-3.0107548236846924,-2.973201036453247,0.031930115073919296,00:01
92,-3.0050275325775146,-2.970560312271118,0.033020686358213425,00:01
93,-3.017238140106201,-2.9980082511901855,0.031147245317697525,00:01
94,-3.0218474864959717,-2.996706962585449,0.03167417272925377,00:01
95,-3.0105464458465576,-2.934931993484497,0.03373034670948982,00:01
96,-3.0144758224487305,-2.9753196239471436,0.03211112320423126,00:01
97,-3.01780104637146,-2.989671468734741,0.0317283496260643,00:01
98,-3.030832529067993,-2.97713041305542,0.031421490013599396,00:01
99,-3.0235188007354736,-2.9788787364959717,0.03143088519573212,00:01
100,-3.014840602874756,-2.9903903007507324,0.03150218352675438,00:01
101,-3.0240612030029297,-3.0019397735595703,0.03176967054605484,00:01
102,-3.0296366214752197,-3.000213623046875,0.03182448819279671,00:01
103,-3.0322957038879395,-2.988959312438965,0.03192870318889618,00:01
104,-3.037274122238159,-2.9908103942871094,0.03162091225385666,00:01
105,-3.024397134780884,-2.9918954372406006,0.031003842130303383,00:01
106,-3.0383529663085938,-2.9956181049346924,0.031087379902601242,00:01
107,-3.0327131748199463,-2.977755546569824,0.03152601048350334,00:01
108,-3.0485317707061768,-2.9847350120544434,0.03176555410027504,00:01
109,-3.040040969848633,-2.9828152656555176,0.031053641811013222,00:01
110,-3.040717363357544,-2.996954917907715,0.03067694790661335,00:01
111,-3.0500917434692383,-2.995145082473755,0.030979789793491364,00:01
112,-3.039361000061035,-2.9964025020599365,0.03138211369514465,00:01
113,-3.052069664001465,-2.982224702835083,0.031257301568984985,00:01
114,-3.036888360977173,-2.995140790939331,0.03163027763366699,00:01
115,-3.0573525428771973,-2.9923386573791504,0.03109555132687092,00:01
116,-3.0487098693847656,-3.001800537109375,0.03080606646835804,00:01
117,-3.057241201400757,-2.997220993041992,0.030436480417847633,00:01
118,-3.053403615951538,-2.9746532440185547,0.03141161799430847,00:01
119,-3.046919107437134,-2.999319076538086,0.03176911920309067,00:01
120,-3.035268783569336,-3.004978656768799,0.030905364081263542,00:01
121,-3.0458362102508545,-2.9915108680725098,0.031398843973875046,00:01
122,-3.0480198860168457,-3.006929874420166,0.03034268319606781,00:01
123,-3.0483150482177734,-3.0081794261932373,0.03050362505018711,00:01
124,-3.0592668056488037,-3.0027129650115967,0.029960280284285545,00:01
125,-3.058734178543091,-2.986933469772339,0.031058747321367264,00:01
126,-3.0658397674560547,-3.0036611557006836,0.02994067408144474,00:01
127,-3.063933849334717,-3.00772762298584,0.02982509322464466,00:01
128,-3.060906410217285,-3.0073862075805664,0.030637351796030998,00:01
129,-3.0550737380981445,-3.0003747940063477,0.03058043122291565,00:01
130,-3.074427604675293,-3.0024356842041016,0.02994772419333458,00:01
131,-3.0641367435455322,-2.9955594539642334,0.030018625780940056,00:01
132,-3.057227373123169,-2.9813826084136963,0.03127957135438919,00:01
133,-3.081038475036621,-2.9991767406463623,0.029998119920492172,00:01
134,-3.066166400909424,-3.0077321529388428,0.02995900809764862,00:01
135,-3.0618579387664795,-3.0087168216705322,0.030895205214619637,00:01
136,-3.080120801925659,-2.99550724029541,0.030063113197684288,00:01
137,-3.064499855041504,-2.993405818939209,0.02971857413649559,00:01
138,-3.066368818283081,-3.005613088607788,0.030252842232584953,00:01
139,-3.0662999153137207,-3.010071277618408,0.02977852337062359,00:01
140,-3.079159736633301,-2.978522777557373,0.030705466866493225,00:02
141,-3.072849750518799,-2.9599931240081787,0.0312860943377018,00:01
142,-3.0667967796325684,-3.0029585361480713,0.030264316126704216,00:01
143,-3.080958604812622,-3.00225830078125,0.030064646154642105,00:01
144,-3.0751953125,-3.005115509033203,0.029493030160665512,00:01
145,-3.068189859390259,-3.010286569595337,0.0302429236471653,00:01
146,-3.0804672241210938,-2.999739408493042,0.030029086396098137,00:01
147,-3.0811548233032227,-3.006054162979126,0.030313191935420036,00:01
148,-3.0904626846313477,-2.9999136924743652,0.029915187507867813,00:01
149,-3.0810062885284424,-3.0004019737243652,0.030231686308979988,00:01
150,-3.0811095237731934,-2.9987633228302,0.030147342011332512,00:01
151,-3.0763731002807617,-2.9795966148376465,0.031140971928834915,00:01
152,-3.0777971744537354,-2.9878768920898438,0.03028891794383526,00:01
153,-3.091064453125,-2.9992666244506836,0.02968771755695343,00:01
154,-3.0972237586975098,-2.999695062637329,0.02986445464193821,00:01
155,-3.0863585472106934,-2.9813740253448486,0.0301214549690485,00:01
156,-3.093167543411255,-2.9702694416046143,0.031436000019311905,00:01
157,-3.101036548614502,-2.99311900138855,0.03008527308702469,00:01
158,-3.0926623344421387,-3.011294364929199,0.030240174382925034,00:01
159,-3.098342180252075,-3.005859851837158,0.029537800699472427,00:01
160,-3.094017744064331,-3.006887912750244,0.030026305466890335,00:01
161,-3.0950775146484375,-3.0002939701080322,0.02955787628889084,00:01
162,-3.1026341915130615,-3.0003387928009033,0.03005170077085495,00:01
163,-3.093614101409912,-3.0048534870147705,0.029446350410580635,00:01
164,-3.1042513847351074,-3.0029590129852295,0.02963033877313137,00:01
165,-3.105901002883911,-2.9818339347839355,0.030299540609121323,00:01
166,-3.0948727130889893,-2.9995837211608887,0.03009480983018875,00:01
167,-3.1066043376922607,-2.996342182159424,0.02935774251818657,00:01
168,-3.1029341220855713,-2.996222972869873,0.030138520523905754,00:01
169,-3.1079862117767334,-2.9753713607788086,0.030396897345781326,00:01
170,-3.106044292449951,-3.007279872894287,0.029366524890065193,00:01
171,-3.111074924468994,-2.9959168434143066,0.02990487590432167,00:01
172,-3.0976545810699463,-2.996574640274048,0.02979636751115322,00:01
173,-3.1136474609375,-3.0013294219970703,0.029249703511595726,00:01
174,-3.119107961654663,-2.9981000423431396,0.029845304787158966,00:01
175,-3.1102454662323,-2.996570348739624,0.029324298724532127,00:01
176,-3.112584352493286,-3.0000410079956055,0.029255080968141556,00:01
177,-3.110044002532959,-2.999331474304199,0.02944352850317955,00:01
178,-3.097243547439575,-3.0026700496673584,0.029719142243266106,00:01
179,-3.105699300765991,-3.0126266479492188,0.02966897003352642,00:01
180,-3.1186609268188477,-3.0069422721862793,0.029284333810210228,00:01
181,-3.112574338912964,-2.9737277030944824,0.030343836173415184,00:01
182,-3.1246190071105957,-3.0026450157165527,0.029335564002394676,00:01
183,-3.116983413696289,-2.990081310272217,0.029526619240641594,00:01
184,-3.1159989833831787,-3.0005247592926025,0.029603632166981697,00:01
185,-3.114434242248535,-2.9959158897399902,0.029335934668779373,00:01
186,-3.1051061153411865,-3.0042800903320312,0.029279066249728203,00:01
187,-3.1246509552001953,-3.002117156982422,0.02949860505759716,00:01
188,-3.1080374717712402,-3.0000925064086914,0.029731281101703644,00:01
189,-3.116535186767578,-3.002716064453125,0.03005296364426613,00:01
190,-3.127446413040161,-2.998955488204956,0.02918427810072899,00:01
191,-3.1186118125915527,-3.0036110877990723,0.029283855110406876,00:01
192,-3.119924306869507,-2.9896249771118164,0.030046110972762108,00:01
193,-3.1200201511383057,-2.9979546070098877,0.029660813510417938,00:01
194,-3.13002872467041,-2.9998648166656494,0.02885330654680729,00:01
195,-3.1330935955047607,-3.0012564659118652,0.029008997604250908,00:01
196,-3.1220550537109375,-3.007244110107422,0.029126780107617378,00:01
