epoch,train_loss,valid_loss,recon_mse,time
0,14.024311065673828,0.7533692121505737,0.20224517583847046,00:06
1,4.633513927459717,0.46198201179504395,0.20743700861930847,00:06
2,1.7254571914672852,-0.06239074468612671,0.19541050493717194,00:06
3,0.5934555530548096,-0.20495280623435974,0.18744751811027527,00:06
4,0.10467340797185898,-0.24857734143733978,0.18492907285690308,00:06
5,-0.16121354699134827,-0.4197593629360199,0.16126011312007904,00:05
6,-0.36514031887054443,-0.5688393115997314,0.13864494860172272,00:06
7,-0.5342308878898621,-0.7170491218566895,0.12552425265312195,00:06
8,-0.6594478487968445,-0.7855528593063354,0.12195614725351334,00:05
9,-0.7535032033920288,-0.8740584850311279,0.1127091497182846,00:05
10,-0.8411198854446411,-0.9554753303527832,0.10503523796796799,00:05
11,-0.9249180555343628,-1.0289357900619507,0.09900759905576706,00:06
12,-1.0069451332092285,-1.144443154335022,0.08709980547428131,00:06
13,-1.1620972156524658,-1.3681318759918213,0.06666116416454315,00:06
14,-1.3375717401504517,-1.4973082542419434,0.055132292211055756,00:06
15,-1.498422384262085,-1.6805521249771118,0.047844354063272476,00:06
16,-1.640886902809143,-1.7812267541885376,0.042838484048843384,00:06
17,-1.7349056005477905,-1.872642993927002,0.03823578357696533,00:06
18,-1.8150595426559448,-1.9018197059631348,0.036307621747255325,00:06
19,-1.8923914432525635,-1.952027678489685,0.03408035263419151,00:06
20,-1.9413126707077026,-1.981248378753662,0.032170042395591736,00:06
21,-1.9965004920959473,-2.0542404651641846,0.031594838947057724,00:05
22,-2.013167142868042,-2.0213537216186523,0.030889807268977165,00:06
23,-2.0525569915771484,-2.073326349258423,0.029921267181634903,00:05
24,-2.0856235027313232,-2.11783766746521,0.028995130211114883,00:06
25,-2.0839967727661133,-2.0965375900268555,0.028964923694729805,00:06
26,-2.118685245513916,-2.113729238510132,0.02911863662302494,00:05
27,-2.1262102127075195,-2.118598461151123,0.02826141193509102,00:05
28,-2.1329264640808105,-2.11373233795166,0.0280595850199461,00:06
29,-2.1510891914367676,-2.0309183597564697,0.028830338269472122,00:05
30,-2.1799628734588623,-2.201645612716675,0.02587454952299595,00:05
31,-2.1755683422088623,-2.172720432281494,0.026908673346042633,00:06
32,-2.190376043319702,-2.1249678134918213,0.02747143805027008,00:05
